,ACN_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
433.26070,9460.9896,
433.28917,9457.0299,
433.31764,9345.6718,
433.34611,9268.1165,
433.37458,9202.4967,
433.40305,9149.5804,
433.43152,9149.6471,
433.45999,9018.8055,
433.48846,8972.1328,
433.51693,8947.0788,
433.54540,8921.0673,
433.57387,8844.6718,
433.60234,8805.8736,
433.63081,8697,
433.65928,8689.395,
433.68775,8660.2241,
433.71622,8640.6422,
433.74469,8618.9253,
433.77316,8545.222,
433.80163,8476.8996,
433.83010,8516.5149,
433.85857,8472.0393,
433.88704,8405.5337,
433.91551,8365.1834,
433.94398,8352.1776,
433.97245,8328.1763,
434.00092,8296.5922,
434.02939,8270.3684,
434.05786,8263.4917,
434.08633,8247.69,
434.11480,8205.0833,
434.14327,8162.4386,
434.17174,8139.1022,
434.20021,8139.9887,
434.22868,8118.5686,
434.25715,8077.4744,
434.28562,8083.401,
434.31409,8098.2801,
434.34256,8079.088,
434.37103,8048.8974,
434.39950,8007.9661,
434.42797,8019.1096,
434.45644,7976.2928,
434.48491,7979.7421,
434.51338,7942.7079,
434.54185,7945.5096,
434.57032,7949,
434.59879,7890.751,
434.62726,7906.7631,
434.65573,7958.6561,
434.68420,7919.9113,
434.71267,7903.947,
434.74114,7851.275,
434.76961,7915.1918,
434.79808,7910.165,
434.82655,7855.0597,
434.85502,7879.9074,
434.88349,7823.7563,
434.91196,7866.6104,
434.94043,7841.1258,
434.96890,7809.633,
434.99737,7830.8298,
435.02584,7810.5716,
435.05431,7826.2325,
435.08278,7791.0647,
435.11125,7797.3831,
435.13972,7800.1689,
435.16819,7790.476,
435.19666,7793.0333,
435.22513,7800.1803,
435.25360,7800.232,
435.28207,7785.8662,
435.31054,7810.3605,
435.33901,7806.5068,
435.36748,7794.2372,
435.39595,7799.4336,
435.42442,7809.8458,
435.45289,7795.9139,
435.48136,7767.708,
435.50983,7772.5376,
435.53830,7782.9213,
435.56677,7775.4171,
435.59524,7773.4513,
435.62371,7784.9686,
435.65218,7827.697,
435.68065,7840.5879,
435.70912,7857.452,
435.73759,7901.1417,
435.76606,8000.9148,
435.79453,8119.9043,
435.82300,8146.0815,
435.85147,8206.0289,
435.87994,8163.8888,
435.90841,8123.59,
435.93688,8039.7376,
435.96535,7969.6195,
435.99382,7882.4402,
436.02229,7908.2702,
436.05076,7934.5789,
436.07923,7960.8383,
436.10771,7944.2192,
436.13618,7948.7677,
436.16465,7952.9343,
436.19312,7944.0772,
436.22159,7956.7448,
436.25006,7951.2028,
436.27853,8009.0923,
436.30700,7985.2879,
436.33547,7984.0854,
436.36394,7964.1869,
436.39241,8023.7745,
436.42088,8032.5313,
436.44935,7986.7902,
436.47782,7988.3278,
436.50629,7998.5579,
436.53476,8017.9907,
436.56323,8053.8317,
436.59170,8072.1536,
436.62017,8074.1089,
436.64864,8063.7533,
436.67711,8084.2345,
436.70558,8069.5377,
436.73405,8088.59,
436.76252,8122.6208,
436.79099,8115.9347,
436.81946,8133.3575,
436.84793,8118.5664,
436.87640,8111.9283,
436.90487,8122.4954,
436.93334,8129.7278,
436.96181,8142.9513,
436.99028,8177.1737,
437.01875,8184.1597,
437.04722,8208.8701,
437.07569,8213.7166,
437.10416,8231.3198,
437.13263,8260.5299,
437.16110,8305.4605,
437.18957,8340.5963,
437.21804,8338.3485,
437.24651,8397.3553,
437.27498,8515.7167,
437.30345,8560.3393,
437.33192,8722.3819,
437.36039,8795.2499,
437.38886,8982.688,
437.41733,9066.6038,
437.44580,9091.6627,
437.47427,9081.9255,
437.50274,9038.2825,
437.53121,8988.4588,
437.55968,8935.1636,
437.58815,8865.3982,
437.61662,8709.8413,
437.64509,8663.835,
437.67356,8630.25,
437.70203,8562.6135,
437.73050,8466.5523,
437.75897,8359.1802,
437.78744,8358.2643,
437.81591,8366.9381,
437.84438,8298.307,
437.87285,8237.1009,
437.90132,8210.5326,
437.92979,8189.5524,
437.95826,8178.0609,
437.98673,8169.1911,
438.01520,8127.2082,
438.04367,8122.3399,
438.07214,8114.5687,
438.10061,8090.1429,
438.12908,8056.7335,
438.15755,8049.2233,
438.18602,8051.282,
438.21449,8087.483,
438.24296,8073.78,
438.27143,8119.4565,
438.29990,8077.7517,
438.32837,8041.3093,
438.35684,8085.3047,
438.38531,8106.483,
438.41378,8109.8643,
438.44225,8012.1604,
438.47072,8042.521,
438.49919,8004.5255,
438.52766,8039.6222,
438.55613,7960.2039,
438.58460,7963.286,
438.61307,7966.9818,
438.64154,7972.0477,
438.67001,7956.2021,
438.69848,7946.7274,
438.72695,7979.4627,
438.75542,7944.0252,
438.78389,7991.944,
438.81236,7965.3007,
438.84083,7940.6882,
438.86930,7932.3276,
438.89777,7906.7997,
438.92624,7903.7018,
438.95471,7922.1057,
438.98318,7943.4685,
439.01165,7959.9748,
439.04012,7923.3004,
439.06859,7923.74,
439.09706,7928.472,
439.12553,7947.3077,
439.15400,7914.9341,
439.18247,7889.3666,
439.21094,7931.2928,
439.23941,7885.0438,
439.26788,7873.7721,
439.29635,7901.7465,
439.32482,7883.1849,
439.35329,7882.2806,
439.38176,7885.6554,
439.41024,7877.772,
439.43871,7889.2636,
439.46718,7912.3687,
