,FeF20+Zn(Hg)_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
432.83365,14903.89,
432.86212,14885.052,
432.89059,14846.5,
432.91906,14881.353,
432.94753,14785.955,
432.97600,14775.194,
433.00447,14702.585,
433.03294,14772.068,
433.06141,14768.646,
433.08988,14726.823,
433.11835,14706.275,
433.14682,14597.236,
433.17529,14543.888,
433.20376,14582.086,
433.23223,14493.54,
433.26070,14415.979,
433.28917,14415.391,
433.31764,14466.043,
433.34611,14461.384,
433.37458,14370.405,
433.40305,14339.558,
433.43152,14349.606,
433.45999,14369.554,
433.48846,14254.156,
433.51693,14277.795,
433.54540,14243.01,
433.57387,14265.149,
433.60234,14271.773,
433.63081,14156.995,
433.65928,14136.06,
433.68775,14204.112,
433.71622,14206.633,
433.74469,14226.571,
433.77316,14234.164,
433.80163,14254.141,
433.83010,14204.621,
433.85857,14219.875,
433.88704,14220.393,
433.91551,14328.457,
433.94398,14387.118,
433.97245,14411.844,
434.00092,14518.264,
434.02939,14599.737,
434.05786,14641.383,
434.08633,14641.283,
434.11480,14598.667,
434.14327,14598.459,
434.17174,14566.332,
434.20021,14464.618,
434.22868,14449.244,
434.25715,14405.9,
434.28562,14256.257,
434.31409,14214.681,
434.34256,14212.183,
434.37103,14153.317,
434.39950,14174.136,
434.42797,14168.621,
434.45644,14217.702,
434.48491,14184.761,
434.51338,14139.876,
434.54185,14175.529,
434.57032,14214.054,
434.59879,14168.504,
434.62726,14271.232,
434.65573,14312.828,
434.68420,14241.153,
434.71267,14330.635,
434.74114,14401.07,
434.76961,14365.645,
434.79808,14473.689,
434.82655,14438.041,
434.85502,14396.907,
434.88349,14287.413,
434.91196,14321.784,
434.94043,14296.096,
434.96890,14223.757,
434.99737,14204.057,
435.02584,14194.142,
435.05431,14091.443,
435.08278,14146.791,
435.11125,14151.02,
435.13972,14083.009,
435.16819,14106.236,
435.19666,14124.033,
435.22513,14127,
435.25360,14122.513,
435.28207,14101.773,
435.31054,14109.592,
435.33901,14169.886,
435.36748,14166.609,
435.39595,14149.381,
435.42442,14183.327,
435.45289,14225.464,
435.48136,14155.248,
435.50983,14082.26,
435.53830,14074.013,
435.56677,14091.356,
435.59524,14065.393,
435.62371,14065.626,
435.65218,14056.121,
435.68065,14041.187,
435.70912,14043.197,
435.73759,14110.457,
435.76606,14109.78,
435.79453,14066.164,
435.82300,14082.355,
435.85147,14021.814,
435.87994,13975.63,
435.90841,13993.335,
435.93688,13924.965,
435.96535,13952.579,
435.99382,13890.544,
436.02229,13806.441,
436.05076,13830,
436.07923,13763.402,
436.10771,13885.649,
436.13618,13802.678,
436.16465,13704.576,
436.19312,13759.083,
436.22159,13770.561,
436.25006,13683.391,
436.27853,13618.935,
436.30700,13651.202,
436.33547,13611.813,
436.36394,13643.834,
436.39241,13588.472,
436.42088,13642.653,
436.44935,13608.295,
436.47782,13642.708,
436.50629,13661.118,
436.53476,13645.741,
436.56323,13839.297,
436.59170,14066.791,
436.62017,13887.546,
436.64864,13642.329,
436.67711,13679.346,
436.70558,13681.397,
436.73405,13917.201,
436.76252,14324.016,
436.79099,14226.259,
436.81946,13891.217,
436.84793,13693.798,
436.87640,13696.798,
436.90487,13693.829,
436.93334,13659.376,
436.96181,13678.743,
436.99028,13667.945,
437.01875,13658.32,
437.04722,13695.32,
437.07569,13804.227,
437.10416,13735.143,
437.13263,13621.757,
437.16110,13687.94,
437.18957,13767.798,
437.21804,13732.39,
437.24651,13763.362,
437.27498,13808.57,
437.30345,13870.287,
437.33192,13856.975,
437.36039,13888.125,
437.38886,13833.094,
437.41733,13852.678,
437.44580,13754.711,
437.47427,13746.584,
437.50274,13714.329,
437.53121,13697.272,
437.55968,13656.466,
437.58815,13490.392,
437.61662,13493.736,
437.64509,13540.158,
437.67356,13480,
437.70203,13471.796,
437.73050,13429.272,
437.75897,13341.713,
437.78744,13317.622,
437.81591,13270.28,
437.84438,13269.173,
437.87285,13240.568,
437.90132,13235.342,
437.92979,13253.431,
437.95826,13156.574,
437.98673,13195.179,
438.01520,13217.17,
438.04367,13168.488,
438.07214,13176.044,
438.10061,13133.799,
438.12908,13151.213,
438.15755,13184.298,
438.18602,13132.715,
438.21449,13169.075,
438.24296,13114.967,
438.27143,13159.222,
438.29990,13241.968,
438.32837,13164.9,
438.35684,13105.965,
438.38531,13163.363,
438.41378,13139.238,
438.44225,13156.184,
438.47072,13153.055,
438.49919,13140.259,
438.52766,13088.238,
438.55613,13135.154,
438.58460,13050.139,
438.61307,12998.846,
438.64154,12962.601,
438.67001,12967.244,
438.69848,12951.035,
438.72695,12889.292,
438.75542,12927.689,
438.78389,12836.879,
438.81236,12885.427,
438.84083,12871.947,
438.86930,12830.976,
438.89777,12855.201,
438.92624,12856.603,
438.95471,12798.103,
438.98318,12788.953,
439.01165,12798.286,
439.04012,12795.95,
439.06859,12819.786,
439.09706,12810.691,
439.12553,12795.626,
439.15400,12854.922,
439.18247,12806.739,
439.21094,12823.396,
439.23941,12810.93,
439.26788,12836.702,
439.29635,12830.438,
439.32482,12838.408,
439.35329,12817.028,
439.38176,12765.202,
439.41024,12706.889,
439.43871,12740.678,
439.46718,12707.016,
439.49565,12674.904,
439.52412,12623.525,
439.55259,12673.057,
439.58106,12699.513,
